"Pill_id","molecules_contained","Molecule_id","quantity_(in_milligrams)."
"0","","1","209"
"1","","1","123.3"
"2","","2","244.0"
"3","","2","172.1"
"4","","2","143.3"
"5","","2","125.8"
"7","","3","101.8"
"8","","2","192.1"
"9","","2","203.7"
"10","","2","149.9"
"11","","2","160.0"
"12","","2","144.1"
"13","","2","169.8"
"14","","2","124.4"
"16","","1","159.5"
"17","","1","136.17"
"18","","2","125."
"19","","2","123.6"
"20","","2","134.1"
"21","","2","136.8"
"22","","2","124.5"
"23","","2","171.17"
"24","","4","26.7"
"24","","5","6.0"
"26","","4","22.7"
"26","","2","5.0"
"26","","5","35.4"
"27","","2","228.3"
"28","","2","124.3"
"29","","2","170.4"
"30","","1","171.2"
"31","","1","136.2"
"32","","1","131.4"
"33","","2","240.3"
"34","","1","122.4"
"35","","2","93.4"
"36","","1","160.7"
"37","","1","168.3"
"38","","1","198.39"
"41","","1","108.8"
"41","","6","127.9"
"42","","1","127.0"
"43","","1","127.8"
"43","","4","61.9"
"44","","2","191.4"
"45","","2","274.7"
"46","","7","140"
"46","","5","6"
"47","","1","136"
"48","","2","160.7"
"49","","2","121.1"
"50","","2","159.8"
"51","","7","173"
"53","","1","125.1"
"54","","1","134.1"
"55","","1","122.1"
"55","","8","1.5"
"56","","1","162.2"
"57","","1","168.4"
"58","","1","249.7"
"59","","1","138.7"
"60","","1","175.6"
"61","","1","120.00"
"62","","1","244.1"
"63","","1","121.9"
"64","","1","150.4"
"65","","1","238.4"
"66","","1","133.0"
"67","","1","184.4"
"68","","1","152.9"
"69","","1","300.0"
"70","","1","130.9"
"71","","1","121.0"
"72","","1","140.1"
"73","","4","0.9"
"73","","5","4.7"
"73","","9","0.4"
"74","","1","113.2"
"74","","6","167.1"
"75","","2","137.3"
"76","","1","196.0"
"78","","2","171.7"
"79","","2","136.2"
"80","","1","112.1"
"80","","6","181.9"
"81","","2","120.2"
"82","","2","121.0"
"83","","2","133.3"
"84","","2","150.2"
"85","","2","156.6"
"86","","2","201.4"
"87","","2","187.0"
"89","","10","35.1"
"89","","11","8.9"
"90","","1","67.8"
"90","","12","16.0"
"91","","1","127.4"
"92","","2","167.0"
"93","","2","138.0"
"94","","2","121.6"
"95","","13","7.7"
"95","","1","1.6"
"96","","1","166.5"
"97","","1","129.2"
"98","","1","154.2"
"99","","1","123.0"
"100","","1","163.8"
"101","","1","122.9"
"102","","10","12.6"
"104","","1","107.1"
"104","","8","1.8"
"105","","1","123.3"
"106","","1","141.0"
"107","","1","153.1"
"109","","2","119"
"110","","2","139.6"
"111","","4","189.5"
"111","","14","4.1"
"111","","3","77.9"
"112","","3","114.2"
"113","","2","119.9"
"114","","2","159.2"
"115","","1","114.4"
"115","","8","3.1"
"116","","3","120.8"
"117","","3","123.9"
"118","","2","168.3"
"120","","15","139.3"
"121","","2","124.6"
"122","","2","228.3"
"123","","16","117.7"
"123","","8","0.6"
"124","","1","99.9"
"124","","5","0.5"
"125","","1","104.0"
"125","","5","0.8"
"126","","1","101.2"
"126","","4","19.5"
"127","","1","127"
"129","","1","188.3"
"130","","17","9.5"
"131","","18","18.7"
"131","","1","15.5"
"131","","19","39.7"
"132","","1","126.2"
"133","","1","217.5"
"134","","1","121.6"
"135","","1","144.4"
"136","","1","158.5"
"137","","1","135.9"
"138","","1","136.7"
"138","","4","176.6"
"139","","10","28.8"
"140","","1","128.0"
"141","","1","147.7"
"142","","1","85.7"
"142","","5","1.1"
"142","","4","113.3"
"144","","4","41.4"
"144","","20","6"
"144","","5","20.0"
"144","","1","6"
"145","","1","124.5"
"146","","1","99.5"
"146","","4","27.4"
"147","","1","126.2"
"148","","1","153.8"
"149","","1","142.0"
"150","","1","135.2"
"151","","1","135.9"
"152","","1","212.0"
"153","","1","136.1"
"154","","1","95.2"
"154","","4","7.3"
"155","","7","80.8"
"156","","1","131.0"
"157","","1","134.4"
"157","","4","1.8"
"158","","1","124.9"
"159","","1","155.5"
"160","","1","155.5"
"161","","1","200.2"
"162","","4","62.8"
"162","","9","19.8"
"164","","13","18.1"
"165","","21","178"
"166","","1","137.4"
"167","","1","83.8"
"167","","4","1.8"
"168","","1","62.8"
"168","","4","4.2"
"169","","1","124.8"
"170","","18","31.3"
"170","","11","5.1"
"171","","13","8.9"
"171","","1","1.5"
"171","","4","2.5"
"172","","1","143.4"
"173","","1","142.8"
"174","","1","243.5"
"175","","1","118.8"
"175","","5","3.3"
"175","","4","1.9"
"176","","1","168.5"
"177","","4","28.3"
"177","","1","48.9"
"178","","4","60.6"
"178","","1","55.2"
"179","","1","115.5"
"179","","4","81.7"
"180","","1","136.5"
"181","","1","174.1"
"182","","1","109.3"
"182","","5","3.5"
"183","","1","71.4"
"183","","12","38.9"
"184","","1","207.4"
"185","","1","170.5"
"186","","1","182.1"
"187","","1","136.0"
"188","","1","206.6"
"189","","1","122.5"
"190","","1","243.1"
"191","","1","72.0"
"191","","4","7.5"
"192","","1","155.0"
"193","","1","149.8"
"194","","4","0.4"
"194","","1","103.8"
"195","","1","122.4"
"196","","1","69.0"
"196","","12","38.7"
"197","","1","127.9"
"198","","1","133.6"
"199","","1","133.3"
"200","","1","131.9"
"201","","1","183.6"
"202","","1","178.3"
"204","","6","0.3"
"204","","5","2.1"
"204","","1","78.1"
"205","","6","22.0"
"205","","1","84.3"
"206","","1","130.7"
"207","","6","70.8"
"208","","1","100.6"
"208","","6","2.5"
"209","","6","160.3"
"210","","6","158.3"
"211","","6","1.0"
"211","","5","0.9"
"211","","1","92.6"
"212","","1","95.7"
"212","","5","2.9"
"213","","22","426.8"
"214","","1","121.1"
"215","","1","125.1"
"217","","1","91.0"
"217","","4","21.7"
"218","","1","213.6"
"219","","1","191.4"
"220","","6","56.8"
"220","","5","7.2"
"221","","10","38.8"
"221","","11","9.8"
"222","","4","69.7"
"222","","5","13.0"
"223","","1","198.3"
"224","","10","0.8"
"224","","1","69"
"225","","4","31.4"
"225","","12","0.7"
"225","","1","63.3"
"226","","4","23.1"
"227","","1","180.9"
"228","","1","146.2"
"229","","20","136.8"
"230","","1","22.5"
"230","","5","9.4"
"231","","6","286.49"
"232","","1","99.45"
"232","","5","2.55"
"233","","4","3.1"
"233","","21","17.0"
"234","","5","134.5"
"235","","1","76.7"
"235","","7","2.2"
"236","","4","53.8"
"236","","1","147.6"
"237","","1","155.5"
"238","","1","72.1"
"238","","7","2.3"
"241","","1","238"
"242","","1","214"
"243","","20","134.5"
"244","","1","210.6"
"245","","20","138.7"
"245","","9","2.26"
