"Pill_id","name","logo","image","image_back","break_notch","color","weight","diameter","thickness","place","date","more_infos"
"0","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-gTwX6D.jpg","http://vied12.github.io/pillen/static/pillen/bild2-sFTpfr.jpg","True","#607c68,#5b7660","262.7 mg","9.3 mm","3.6 mm","Zürich","2014/09/26",""
"1","Route 66","Route 66","http://vied12.github.io/pillen/static/pillen/bild1-c0tcwz.jpg","http://vied12.github.io/pillen/static/pillen/bild2-TYZ4za.jpg","True","#3a7035,#3d7335","428.7 mg","10.4 x 10.2 mm","4.6 mm","Zürich","2014/09/26",""
"2","Supermann","Supermann","http://vied12.github.io/pillen/static/pillen/bild1-ZhfHmK.jpg","http://vied12.github.io/pillen/static/pillen/bild2-96s89D.jpg","False","#3d686b,#0e2527","354.0 mg","10.1 mm","5.3 mm","Zürich","2014/09/26",""
"3","Rakete (Fusion)","Rakete (Fusion)","http://vied12.github.io/pillen/static/pillen/bild1-Z67WpU.jpg","http://vied12.github.io/pillen/static/pillen/bild2-SfBNk5.jpg","False","#603530,#7c4f4c","343.7 mg","9.4 mm","4.5 mm","Zürich","2014/09/12",""
"4","Rakete (Fusion)","Rakete (Fusion)","http://vied12.github.io/pillen/static/pillen/bild1-IHNXLn.jpg","http://vied12.github.io/pillen/static/pillen/bild2-qxVFQG.jpg","False","#8d6305,#a17314","302.4 mg","9.4 mm","3.9 mm","Zürich","2014/09/12",""
"5","Superman","Superman","http://vied12.github.io/pillen/static/pillen/bild1-y2414e.jpg","http://vied12.github.io/pillen/static/pillen/bild2-9uCBRE.jpg","False","#286630,#082d0c","377.0 mg","10.1 mm","5.6 mm","Zürich","2014/09/12",""
"6","Bömbeli","Bombe","http://vied12.github.io/pillen/static/pillen/bild1-Yi7KBA.jpg","http://vied12.github.io/pillen/static/pillen/bild2-YqELbh.jpg","False","#617430,#74883e","188.2 mg","8.1 mm","4.0 mm","Zürich","2014/09/05",""
"7","Goldbarren","Gold","http://vied12.github.io/pillen/static/pillen/bild1-3U5gsz.jpg","http://vied12.github.io/pillen/static/pillen/bild2-vVibN8.jpg","False","#d0b582,#cdb27d","453.0 mg","12.3 x 8.3 mm","4.1 mm","Zürich","2014/09/05",""
"8","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-KCT05n.jpg","http://vied12.github.io/pillen/static/pillen/bild2-svw8Ee.jpg","True","#b4b9b6,#9ba3aa","357.3 mg","10.2 x 8.6 mm","3.4 mm","Zürich","2014/09/05",""
"9","No Name","No Name","http://vied12.github.io/pillen/static/pillen/bild1-tUILja.jpg","http://vied12.github.io/pillen/static/pillen/bild2-RWo8nu.jpg","False","#60685b,#5e695c","299.9 mg","8.6 mm","4.2 mm","Zürich","2014/09/05",""
"10","Bentley","Bentley","http://vied12.github.io/pillen/static/pillen/bild1-7oTe5g.jpg","http://vied12.github.io/pillen/static/pillen/bild2-Nmg6GY.jpg","True","#d08674,#9b4c3f","258.0 mg","8.3 mm","4.6 mm","Zürich","2014/09/05",""
"11","Bentley","Bentley","http://vied12.github.io/pillen/static/pillen/bild1-PaC7fN.jpg","http://vied12.github.io/pillen/static/pillen/bild2-l7dYdC.jpg","True","#8d8098,#6a5a71","299.8 mg","8.5 mm","5.5 mm","Zürich","2014/09/05",""
"12","Pinke Pyramide","Pinke Pyramide","http://vied12.github.io/pillen/static/pillen/bild1-VopeSI.jpg","","True","#968577","284.2 mg","8.0 mm","6.0 mm","Zürich","2014/09/05",""
"13","Batman","Batman","http://vied12.github.io/pillen/static/pillen/bild1-boTeNY.jpg","http://vied12.github.io/pillen/static/pillen/bild2-hv6imR.jpg","False","#d2b857,#ccb561","205.6 mg","8.1 mm","3.2 mm","Zürich","2014/09/05",""
"14","?","unbekannt","http://vied12.github.io/pillen/static/pillen/bild1-odHnDv.jpg","http://vied12.github.io/pillen/static/pillen/bild2-O8zeiY.jpg","True","#85a195,#8799b8","-","8.5 x 7.3 mm","-","Zürich","2014/09/05",""
"15","Superman","Superman","http://vied12.github.io/pillen/static/pillen/bild1-VHSaiO.jpg","http://vied12.github.io/pillen/static/pillen/bild2-PfDFp6.jpg","False","#7e5657,#59282d","331.0 mg","10.2 x 10.1 mm","5.8 mm","Zürich","2014/08/22",""
"16","Geistli","Geistli","http://vied12.github.io/pillen/static/pillen/bild1-WNPbal.jpg","http://vied12.github.io/pillen/static/pillen/bild2-pcx66a.jpg","False","#253c3a,#395453","249.7 mg","9 mm","4.7 mm","Zürich","2014/08/22",""
"17","Superman","Superman","http://vied12.github.io/pillen/static/pillen/bild1-u2tjf0.jpg","http://vied12.github.io/pillen/static/pillen/bild2-gCq5kK.jpg","True","#457868,#538a7c","389.5 mg","10.5 x 10.2 mm","6.0 mm","Zürich","2014/08/22",""
"18","No Name","No Name","http://vied12.github.io/pillen/static/pillen/bild1-hrkEbw.jpg","http://vied12.github.io/pillen/static/pillen/bild2-7RIakC.jpg","False","#656e5b,#495446","301,4 mg","8,6 mm","4,2 mm","Zürich","2014/08/15",""
"19","Ahorn","Ahorn","http://vied12.github.io/pillen/static/pillen/bild1-ix7TFV.jpg","http://vied12.github.io/pillen/static/pillen/bild2-2slj54.jpg","True","#305960,#2d616a","367,5 mg","8,2 mm","6,3 mm","Zürich","2014/08/08",""
"20","Geist (Pac - Man)","Geist (Pac - Man)","http://vied12.github.io/pillen/static/pillen/bild1-ShEXs5.jpg","http://vied12.github.io/pillen/static/pillen/bild2-s7lsuD.jpg","False","#8f9786,#4d5543","31 0.3 mg","9.1 mm","5.5 mm","Zürich","2014/08/01",""
